Date,Open,High,Low,Close,Adj Close,Volume
2021-10-18,55.299999,56.799999,54.200001,54.700001,54.700001,1780172
2021-10-19,55.200001,57.500000,55.200001,57.500000,57.500000,1734274
2021-10-20,57.799999,58.099998,56.299999,57.500000,57.500000,1108000
2021-10-21,57.500000,57.900002,55.799999,55.799999,55.799999,999460
2021-10-22,56.599998,56.799999,55.099998,55.500000,55.500000,770088
2021-10-25,55.700001,57.599998,55.700001,57.500000,57.500000,1228358
2021-10-26,57.500000,61.500000,57.099998,59.599998,59.599998,4710872
2021-10-27,60.000000,60.000000,58.200001,59.299999,59.299999,1560550
2021-10-28,59.200001,59.400002,58.400002,58.799999,58.799999,719600
2021-10-29,59.299999,60.599998,59.099998,59.900002,59.900002,1156050
2021-11-01,60.099998,61.099998,58.799999,59.000000,59.000000,1412006
2021-11-02,59.400002,60.500000,58.099998,58.099998,58.099998,1480775
2021-11-03,58.500000,59.400002,57.000000,58.799999,58.799999,965637
2021-11-04,58.599998,60.099998,58.200001,58.400002,58.400002,851428
2021-11-05,58.500000,59.000000,57.700001,57.799999,57.799999,460720
2021-11-08,58.400002,59.599998,57.900002,59.299999,59.299999,850399
2021-11-09,59.500000,59.799999,58.500000,59.000000,59.000000,458369
2021-11-10,58.799999,58.799999,57.700001,57.900002,57.900002,979232
2021-11-11,57.900002,59.299999,57.799999,58.400002,58.400002,512264
2021-11-12,57.599998,57.599998,54.500000,55.299999,55.299999,3528492
2021-11-15,55.700001,56.599998,55.299999,56.000000,56.000000,879025
2021-11-16,56.000000,56.700001,55.500000,55.599998,55.599998,448904
2021-11-17,55.599998,57.400002,55.200001,57.299999,57.299999,985219
2021-11-18,57.299999,57.299999,56.000000,56.000000,56.000000,777416
2021-11-19,56.500000,56.500000,55.200001,55.599998,55.599998,719550
2021-11-22,55.799999,57.200001,55.400002,56.700001,56.700001,696287
2021-11-23,56.799999,57.799999,56.299999,56.599998,56.599998,1126101
2021-11-24,57.000000,58.500000,57.000000,57.299999,57.299999,1051200
2021-11-25,57.799999,58.700001,57.099998,57.099998,57.099998,654307
2021-11-26,56.799999,57.000000,54.400002,54.799999,54.799999,1414020
2021-11-29,54.000000,54.500000,51.599998,53.400002,53.400002,1080000
2021-11-30,53.500000,55.700001,53.500000,53.799999,53.799999,376500
2021-12-01,53.799999,54.200001,52.900002,53.799999,53.799999,791720
2021-12-02,54.599998,54.599998,52.000000,52.000000,52.000000,1249070
2021-12-03,51.400002,52.700001,51.400002,52.000000,52.000000,703200
2021-12-06,52.000000,52.700001,51.500000,52.599998,52.599998,446276
2021-12-07,52.299999,53.000000,52.299999,52.700001,52.700001,312471
2021-12-08,53.000000,53.900002,52.700001,53.500000,53.500000,545402
2021-12-09,54.099998,54.099998,51.200001,51.900002,51.900002,1093701
2021-12-10,51.799999,52.500000,51.000000,52.299999,52.299999,943621
2021-12-13,52.400002,52.799999,51.599998,52.400002,52.400002,680080
2021-12-14,52.500000,52.599998,51.599998,51.799999,51.799999,573015
2021-12-15,52.000000,53.900002,52.000000,52.700001,52.700001,507142
2021-12-16,53.200001,53.799999,52.799999,52.799999,52.799999,462050
2021-12-17,53.000000,53.099998,51.900002,51.900002,51.900002,520005
2021-12-20,52.000000,52.099998,51.000000,51.400002,51.400002,330240
2021-12-21,51.900002,52.200001,51.299999,52.000000,52.000000,183200
2021-12-22,52.500000,53.299999,51.900002,53.000000,53.000000,332344
2021-12-23,53.000000,53.700001,52.500000,52.900002,52.900002,345411
2021-12-24,53.000000,55.000000,53.000000,53.400002,53.400002,2451025
2021-12-27,54.000000,55.400002,52.900002,54.900002,54.900002,1476159
2021-12-28,55.700001,60.200001,55.000000,57.000000,57.000000,3866548
2021-12-29,56.700001,57.599998,56.299999,56.599998,56.599998,819100
2021-12-30,56.799999,57.000000,55.900002,56.299999,56.299999,536062
2022-01-03,56.299999,56.700001,54.400002,54.599998,54.599998,824100
2022-01-04,56.599998,57.500000,55.200001,56.400002,56.400002,1594338
2022-01-05,56.299999,56.299999,55.000000,55.000000,55.000000,525054
2022-01-06,55.000000,56.500000,54.599998,56.500000,56.500000,735376
